tender_id,notice_file,notice_pages,ministry,ministry_id,agency,agency_id,procuring_entity,procuring_entity_id,procuring_entity_code,district,district_original,city,thana,country,phone,procurement_nature,procurement_type,event_type,invitation_for,invitation_ref,status,status_original,app_id,method,budget_type,source_of_funds,development_partner,project_code,project,project_id,package_no,package_description,category,evaluation_type,document_price_taka,document_price_original,payment_mode,published_date,last_selling_date,premeeting_start,premeeting_end,closing_date,opening_date,security_last_date,security_valid_until,tender_valid_until,inviting_officer,inviting_officer_id,inviting_officer_designation,lots,eligibility_source_field,eligibility_page,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_published,eligibility_substantive,eligibility_categories,amended,amendment_no,amendment_no_printed,amendment_changed_fields,eligibility_amended
1253316,Tender Notice_PDFs/GDA_Tender_1253316.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Planning Section, Gazipur Development Authority",og0042,PE-GDA-002,Gazipur,Gazipur,,,,,Physical Services,NCT,PPS PPS for selection of Consulting firm,,,Contract Awarded,Contract Awarded,224283,Open Tendering Method (OTM),Development,"Government, Own fund",,gda-dev-2025-2026-3,"Feasibility study project for the planned housing development in Gazipur district, comprising three projects over an area of more than 200 acres and eight projects within 20 acres.",pr0043,gda-dev-2025-2026-1-3,Supply of vehicles under the project titled Planned Housing (3 plots of more than 200 acres and 8 plots of 20 acres) in Gazipur district.,Land transport services; Land transport services and transport via pipeline services;Passenger land transport services.;Land freight transport services,Package wise,,,Payment through Bank,,,2026-04-06,2026-04-06,,,2026-04-26,2026-08-22,2026-07-25,Md. Mumitur Rahman,pp0076,Member (Planning),3,eligibility_consultant,1,1487,8,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;personnel;subcontract;tax_deduction,yes,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,no
1253318,Tender Notice_PDFs/GDA_Tender_1253318.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Planning Section, Gazipur Development Authority",og0042,PE-GDA-002,Gazipur,Gazipur,,,,,Physical Services,NCT,PPS PPS for selection of Consulting firm,,,Re-Tendered,Re-Tendered,224283,Open Tendering Method (OTM),Development,"Government, Own fund",,gda-dev-2025-2026-3,"Feasibility study project for the planned housing development in Gazipur district, comprising three projects over an area of more than 200 acres and eight projects within 20 acres.",pr0043,gda-dev-2025-2026-1-1,"Supply of manpower through outsourcing for computing services and survey services under the project titled ""Planned Housing (3 of more than 200 acres and 8 of 20 acres) in Gazipur district."" Experience, Resources and (1) The minimum number of years of general experience of the Tenderer in contracting industries in public sector as Prime delivery capacity required : Contractor/Sub Contractor/Management Contractor shall be 03 (Three) years. (2) The minimum specific experience as a Prime Contractor in providing non-consulting service of at least ONE contract of manpower supply through outsourcing in any Government/ Semi-Government/ Autonomous organization, with a contract value of at least BDT 5.50 Lakh under a single contract, successfully completed within 01 (One) year over a period of last 03 (Three) years shall be required. (3) The required average annual turnover of the Tenderer shall be at least of the amount of BDT 3.00 Lakh over the last 03 (Three) years. (4) The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be BDT 1.50 lakh only. (5) The Tenderer must submit the following updated documents: valid Trade License, VAT registration certificate, Income Tax Clearance Certificate, Papers related to previous manpower supply experience. (6) The Tenderer must submit up-to-date License/Registration Document as manpower provider firm issued by Department of Inspection for Factories and Establishments (DIFE) in compliance of Section 3Ka (1) of Bangladesh Labor Act 2006. Failure in submitting of such document shall lead to the non-responsiveness of the concerned bidder/tenderer. (7) Tenderer must follow the following guidelines- Outsourcing Service Procurement Policy, 2025: Ministry of Finance, circular no 07.00.0000.000.153.99.0001.21-178, Dated: 15/04/2025. (8) VAT and Income Tax will be deducted as per latest government instructions. (9) All other qualification criteria will be as per TDS and ITT included in the tender.",Computer-related services; Computer and related services; Computer-related management services; Computer support and consultancy services; Computer network services; Computer upgrade services; Computer audit services; Computer testing services; Computer back-up services; Computer catalogue conversion services; Computer-related professional services;,Package wise,,,Payment through Bank,,,2026-04-06,2026-04-06,,,2026-04-19,2026-08-15,2026-07-18,Md. Mumitur Rahman,pp0076,Member (Planning),1,eligibility_consultant,1,1831,10,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;personnel;subcontract;tax_deduction,no,,,,no
1253320,Tender Notice_PDFs/GDA_Tender_1253320.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Planning Section, Gazipur Development Authority",og0042,PE-GDA-002,Gazipur,Gazipur,Gazipur,Gazipur City Corporation,Bangladesh,0222-4424050,Goods,NCT,TENDER,Tender - Single Lot,gda-dev-2025-2026-1-2,Being processed,Being processed,224283,Open Tendering Method (OTM),Development,"Government, Own fund",,gda-dev-2025-2026-3,"Feasibility study project for the planned housing development in Gazipur district, comprising three projects over an area of more than 200 acres and eight projects within 20 acres.",pr0043,gda-dev-2025-2026-1-2,Supply of a laptop and a CAD plotter under the project titled Planned Housing (3 plots of more than 200 acres and 8 plots of 20,"Office and computing machinery, equipment and supplies;Office machinery, equipment and supplies except computers;Word- processing machines;Photocopying and printing equipment;Post-office equipment;Calculating and accounting machines;Typewriters;Parts and accessories of typewriters and calculating machines;Various office equipment and supplies;Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers",Lot wise,500,500,Payment through Bank,2026-04-05,2026-04-19,2026-04-06,2026-04-06,2026-04-19,2026-04-19,2026-04-19,2026-08-15,2026-07-18,Md. Mumitur Rahman,pp0076,Member (Planning),1,eligibility,1,801,3,n.,yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;geographic,no,,,,no
1253425,Tender Notice_PDFs/GDA_Tender_1253425.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Office of the Member,Administration and Finance Department, Gazipur Development Authority",og0043,PE-GDA-003,Gazipur,Gazipur,,,,,Physical Services,NCT,PPS PPS for selection of Consulting firm,,,Re-Tendered,Re-Tendered,224425,Open Tendering Method (OTM),Development,Government,,gda-dev-2025-2026-1,"Study project titled ""Feasibility of research through surveys, surveys, and random sampling on low-income housing""",pr0044,gda-dev-2025-2026-3-1,"Supply of manpower through outsourcing for computing services and survey services under the project titled ""Low-income housing survey, survey, random selection research, feasibility study"" in Gazipur district Experience, Resources and (1) The minimum number of years of general experience of the Tenderer in contracting industries in public sector as Prime delivery capacity required : Contractor/Sub Contractor/Management Contractor shall be 03 (Three) years. (2) The minimum specific experience as a Prime Contractor in providing non-consulting service of at least ONE contract of manpower supply through outsourcing in any Government/ Semi-Government/ Autonomous organization, with a contract value of at least BDT 3.00 Lakh under a single contract, successfully completed within 01 (One) year over a period of last 03 (Three) years shall be required. (3) The required average annual turnover of the Tenderer shall be at least of the amount of BDT 4.00 Lakh over the last 03 (Three) years. (4) The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be BDT 1.50 lakh only. (5) The Tenderer must submit the following updated documents: valid Trade License, VAT registration certificate, Income Tax Clearance Certificate, Papers related to previous manpower supply experience. (6) The Tenderer must submit up-to-date License/Registration Document as manpower provider firm issued by Department of Inspection for Factories and Establishments (DIFE) in compliance of Section 3Ka (1) of Bangladesh Labor Act 2006. Failure in submitting of such document shall lead to the non-responsiveness of the concerned bidder/tenderer. (7) Tenderer must follow the following guidelines- Outsourcing Service Procurement Policy, 2025: Ministry of Finance, circular no 07.00.0000.000.153.99.0001.21-178, Dated: 15/04/2025. (8) VAT and Income Tax will be deducted as per latest government instructions. (9) All other qualification criteria will be as per TDS and ITT included in the tender. `",Miscellaneous services; Washing and dry-cleaning services; Hairdressing and beauty treatment services; Physical well-being services; Accommodation and office services; Civic-amenity services; Marine services; Funeral and related services; Miscellaneous services n.e.c.; Clearing and Forwarding Agent; Service Provider (Others);Laundry-collection services;Textile-cleaning services;Fur- products cleaning services;Colouring services;Pressing services;Dyeing services;Hairdressing services;Beauty treatment services;Turkish bath services;Spa services;Massage services;Accommodation services;Car-park management services;Aquatic marine services;Port management services;Diving services;Funeral services;Decommissioning services;Relocation services;Tailoring services;Upholstering services;Locksmith services,Package wise,,,Payment through Bank,,,2026-04-06,2026-04-06,,,2026-04-19,2026-08-15,2026-07-18,Md. Mumitur Rahman,pp0076,Member (Administration and Finance),1,eligibility_consultant,1,1833,10,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;personnel;subcontract;tax_deduction,no,,,,no
1253427,Tender Notice_PDFs/GDA_Tender_1253427.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Office of the Member,Administration and Finance Department, Gazipur Development Authority",og0043,PE-GDA-003,Gazipur,Gazipur,Gazipur city,Gazipur City Corporation,Bangladesh,0222-4423532,Goods,NCT,TENDER,Tender - Single Lot,gda-dev-2025-2026-3-2,Being processed,Being processed,224425,Open Tendering Method (OTM),Development,Government,,gda-dev-2025-2026-1,"Study project titled ""Feasibility of research through surveys, surveys, and random sampling on low-income housing""",pr0044,gda-dev-2025-2026-3-2,"Supply of laptops and printers under the project titled Low-income Housing Survey, Survey, Random Selection Research,","Computer equipment and supplies; Office and computing machinery, equipment and supplies; Data-processing machines; Digital cartography equipment; Computer hardware; Software; Computer systems; Servers;",Lot wise,500,500,Payment through Bank,2026-04-05,2026-04-19,2026-04-06,2026-04-06,2026-04-19,2026-04-19,2026-04-19,2026-08-15,2026-07-18,Md. Mumitur Rahman,pp0076,Member (Administration and Finance),1,eligibility,1,800,3,n.,yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;geographic,no,,,,no
1253428,Tender Notice_PDFs/GDA_Tender_1253428.pdf,3,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Office of the Member,Administration and Finance Department, Gazipur Development Authority",og0043,PE-GDA-003,Gazipur,Gazipur,,,,,Physical Services,NCT,PPS PPS for selection of Consulting firm,,,Contract Awarded,Contract Awarded,224425,Open Tendering Method (OTM),Development,Government,,gda-dev-2025-2026-1,"Study project titled ""Feasibility of research through surveys, surveys, and random sampling on low-income housing""",pr0044,gda-dev-2025-2026-3-3,"Supply of vehicles under the project titled Survey, Random Selection, and Feasibility Study on Low-income Housing. Experience, Resources and (1) The minimum number of years of general experience of the Tenderer in contracting industries in public sector as Prime delivery capacity required : Contractor/Sub Contractor/Management Contractor shall be 03 (Three) years. (2) The minimum specific experience as a Prime Contractor in providing non-consulting service of at least ONE contract of vehicle supply through outsourcing in any Government/ Semi-Government/ Autonomous organization, with a contract value of at least BDT11.00 Lakh under a single contract, successfully completed within 01 (One) year over a period of last 03 (Three) years shall be required. (3) The required average annual turnover of the Tenderer shall be at least of the amount of BDT 11.00 Lakh over the last 03 (Three) years. (4) The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be BDT 4.00 lakh only. (5) The Tenderer must submit the following updated documents: valid Trade License, VAT registration certificate, Income Tax Clearance Certificate, Papers related to previous manpower supply experience. (6) Tenderer must follow the following guidelines- Outsourcing Service Procurement Policy, 2025: Ministry of Finance, circular no 07.00.0000.000.153.99.0001.21-178, Dated: 15/04/2025. (8) VAT and Income Tax will be deducted as per latest government instructions. (9) All other qualification criteria will be as per TDS and ITT included in the tender.","Supporting and auxiliary transport services; travel agencies services; Cargo handling and storage services; Support services for land transport; Support services for water transport; Support services for air transport; Travel agency, tour operator and tourist assistance services; Logistics services;Cargo handling services;Storage and warehousing services;Support services for railway transport;Support services for road transport;Port and waterway operation services and associated services;Ship-piloting services;Berthing services;Navigation services;Salvage and refloating services;Miscellaneous water transport support services;Towing and pushing services of ships;Airport operation services;Air-traffic control services;Aircraft refuelling services;Travel agency and similar services;Transport agency services",Package wise,,,Payment through Bank,,,2026-04-06,2026-04-06,,,2026-04-26,2026-08-22,2026-07-25,Md. Mumitur Rahman,pp0076,Member (Administration and Finance),3,eligibility_consultant,1,1487,8,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;personnel;subcontract;tax_deduction,yes,1,1,Document last selling date & time;Opening Date & Time,no
1257073,Tender Notice_PDFs/GDA_Tender_1257073.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Admin and Finance Section, Gazipur Development Authority",og0044,PE-GDA-007,Gazipur,Gazipur,Gazipur City,Gazipur City Corporation,Bangladesh,0222-4424048,Goods,NCT,TENDER,Tender - Single Lot,gda-rev-2025-2026-1,Contract Awarded,Contract Awarded,224741,Open Tendering Method (OTM),Revenue,Government,,gda-rev-2025-2026,yearly works/goods supply/physical services with rev budget.,pr0045,gda-rev-2025-2026-1,Purchase of furniture for newly appointed officers and employees of the Gazipur Development Authority.,"Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables;Seats, chairs and associated parts;Non-domestic furniture;Domestic furniture;Miscellaneous furniture and equipment;School furniture",Lot wise,500,500,Payment through Bank,2026-04-12,2026-04-26,2026-04-12,2026-04-12,2026-04-26,2026-04-26,2026-04-26,2026-08-22,2026-07-25,MD. Mehedi Hassan,pp0079,Secretary,1,eligibility,1,518,5,n.,yes,yes,cert_other;cert_tin;cert_trade_licence;experience_count;experience_general;experience_similar;financial_credit;financial_liquid,no,,,,no
1257174,Tender Notice_PDFs/GDA_Tender_1257174.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Office of the Chief Engineer, Gazipur Development Authority",og0041,PE-GDA-006,Gazipur,Gazipur,Gazipur,Gazipur City Corporation,Bangladesh,"0222-4424049 REOI : Complex, Holding -209",Services,NCT,REOI Request for expression of interest for Consulting firm selection of Contract Type : Lump - Sum REOI No. : gda-dev-2025-2026-2-5,,,Being processed,Being processed,224264,Selection under a Fixed Budget (SFB),Development,Government,,gda-dev-2025-2026-2,Road construction survey project mentioned in DAP in the area under the jurisdiction of Gazipur Development Authority.,pr0042,,"Consultancy services for the preparation of a feasibility study report and draft development project proposal (DPP) and conceptual design under the road construction survey project mentioned in the DAP in the area under the jurisdiction of the Gazipur Development Authority. Experience, Resources and Information given in the TDS and PCC. delivery capacity required",Research and development services and related consultancy services.; Research and experimental development services; Research and development consultancy services; Design and execution of research and development;Research services;Experimental development services;Research consultancy services;Development consultancy services REOI Publication 12-Apr-2026 09:00 Date and Time : EOI Closing 28-Apr-2026 15:00 EOI Opening 28-Apr-2026 15:00 Date and Time : Date and Time,Package wise,,,,,,,,,,,,,REOI Ripon Kumer Roy,pp0130,,1,eligibility_consultant,1,1255,1,unnumbered,yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_similar;financial_turnover;personnel,no,,,,no
1257398,Tender Notice_PDFs/GDA_Tender_1257398.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Planning Section, Gazipur Development Authority",og0042,PE-GDA-002,Gazipur,Gazipur,Gazipur,Gazipur City Corporation,Bangladesh,"0222-4424050 REOI : Complex, Holding -209",Services,NCT,REOI Request for expression of interest for Consulting firm selection of Contract Type : Lump - Sum REOI No. : gda-dev-2025-2026-1-4,,,Being processed,Being processed,224283,Selection under a Fixed Budget (SFB),Development,"Government, Own fund",,gda-dev-2025-2026-3,"Feasibility study project for the planned housing development in Gazipur district, comprising three projects over an area of more than 200 acres and eight projects within 20 acres.",pr0043,,"geo-physical survey, soil testing works, preparation of feasibility study report and preparation of draft development project proposal (DPP) under the project titled "" Feasibility study project for the planned housing development in Gazipur district, comprising 3 projects over an area of more than 200 acres and 8 projects within 20 acres"". Experience, Resources and as stated in TOR. delivery capacity required",Research and development services and related consultancy services.;Research and experimental development services;Research services;Experimental development services;Research and development consultancy services;Research consultancy services;Development consultancy services;Design and execution of research and development REOI Publication 12-Apr-2026 09:00 Date and Time : EOI Closing 07-May-2026 15:00 EOI Opening 07-May-2026 15:00 Date and Time : Date and Time,Package wise,,,,,,,,,,,,,REOI Md. Mumitur Rahman,pp0131,,3,eligibility_consultant,1,1260,1,unnumbered,yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_similar;financial_turnover;personnel,yes,1,"1 the newspaper advertisement was delayed, leaving an insufficient amount of time between the publication date and the tender opening.",Closing Date & Time;Opening Date & Time,no
1257431,Tender Notice_PDFs/GDA_Tender_1257431.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Office of the Member,Administration and Finance Department, Gazipur Development Authority",og0043,PE-GDA-003,Gazipur,Gazipur,Gazipur city,Gazipur City Corporation,Bangladesh,"0222-4423532 REOI : Finance), Gazipur Development",Services,NCT,REOI Request for expression of interest for Consulting firm selection of Contract Type : Lump - Sum REOI No. : gda-dev-2025-2026-3-4,,,Being processed,Being processed,224425,Selection under a Fixed Budget (SFB),Development,Government,,gda-dev-2025-2026-1,"Study project titled ""Feasibility of research through surveys, surveys, and random sampling on low-income housing""",pr0044,,"Recruitment of consulting service providers under the study project titled ""Feasibility of research through surveys, surveys, and random sampling on low-income housing"" Experience, Resources and as per tor delivery capacity required",Research and development services and related consultancy services.;Research and experimental development services;Research services;Experimental development services;Research and development consultancy services;Research consultancy services;Development consultancy services;Design and execution of research and development REOI Publication 12-Apr-2026 09:00 Date and Time : EOI Closing 07-May-2026 15:00 EOI Opening 07-May-2026 15:00 Date and Time : Date and Time,Package wise,,,,,,,,,,,,,REOI Md. Mumitur Rahman,pp0131,,5,eligibility_consultant,1,1261,1,unnumbered,yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_similar;financial_turnover;personnel,yes,2,2,Closing Date & Time;Opening Date & Time,no
1261854,Tender Notice_PDFs/GDA_Tender_1261854.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Office of the Chief Engineer, Gazipur Development Authority",og0041,PE-GDA-006,Gazipur,Gazipur,,,,,Physical Services,NCT,PPS PPS for selection of Consulting firm,,,Contract Awarded,Contract Awarded,224264,Open Tendering Method (OTM),Development,Government,,gda-dev-2025-2026-2,Road construction survey project mentioned in DAP in the area under the jurisdiction of Gazipur Development Authority.,pr0042,gda-dev-2025-2026-2-3,Supply of manpower through outsourcing for computing services and survey services under the project titled Road Construction Survey mentioned in DAP in the areas under the jurisdiction of Gazipur Development Authority.,"Labour recruitment and provision of personnel services.; Architectural, engineering, construction, legal, accounting and other professional services; Placement services of personnel.; Supply services of personnel.; Recruitment services.; Personnel services except placement and supply services;",Package wise,,,Payment through Bank,,,2026-04-21,2026-04-21,,,2026-04-29,2026-08-25,2026-07-28,Ripon Kumer Roy,pp0073,Chief Engineer,1,eligibility_consultant,1,1831,10,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;personnel;subcontract;tax_deduction,no,,,,no
1261983,Tender Notice_PDFs/GDA_Tender_1261983.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Planning Section, Gazipur Development Authority",og0042,PE-GDA-002,Gazipur,Gazipur,,,,,Physical Services,NCT,PPS PPS for selection of Consulting firm,,,Contract Awarded,Contract Awarded,224283,Open Tendering Method (OTM),Development,"Government, Own fund",,gda-dev-2025-2026-3,"Feasibility study project for the planned housing development in Gazipur district, comprising three projects over an area of more than 200 acres and eight projects within 20 acres.",pr0043,gda-dev-2025-2026-1-1,"Supply of manpower through outsourcing for computing services and survey services under the project titled ""Planned Housing (3 of more than 200 acres and 8 of 20 acres) in Gazipur district.""",Computer-related services; Computer and related services; Computer-related management services; Computer support and consultancy services; Computer network services; Computer upgrade services; Computer audit services; Computer testing services; Computer back-up services; Computer catalogue conversion services; Computer-related professional services;,Package wise,,,Payment through Bank,,,2026-04-23,2026-04-23,,,2026-04-29,2026-08-25,2026-07-28,Md. Mumitur Rahman,pp0076,Member (Planning),1,eligibility_consultant,1,1831,10,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;personnel;subcontract;tax_deduction,no,,,,no
1262256,Tender Notice_PDFs/GDA_Tender_1262256.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Office of the Member,Administration and Finance Department, Gazipur Development Authority",og0043,PE-GDA-003,Gazipur,Gazipur,,,,,Physical Services,NCT,PPS PPS for selection of Consulting firm,,,Contract Awarded,Contract Awarded,224425,Open Tendering Method (OTM),Development,Government,,gda-dev-2025-2026-1,"Study project titled ""Feasibility of research through surveys, surveys, and random sampling on low-income housing""",pr0044,gda-dev-2025-2026-3-1,"Supply of manpower through outsourcing for computing services and survey services under the project titled ""Low-income housing survey, survey, random selection research, feasibility study"" in Gazipur district",Miscellaneous services; Washing and dry-cleaning services; Hairdressing and beauty treatment services; Physical well-being services; Accommodation and office services; Civic-amenity services; Marine services; Funeral and related services; Miscellaneous services n.e.c.; Clearing and Forwarding Agent; Service Provider (Others);Laundry-collection services;Textile-cleaning services;Fur- products cleaning services;Colouring services;Pressing services;Dyeing services;Hairdressing services;Beauty treatment services;Turkish bath services;Spa services;Massage services;Accommodation services;Car-park management services;Aquatic marine services;Port management services;Diving services;Funeral services;Decommissioning services;Relocation services;Tailoring services;Upholstering services;Locksmith services,Package wise,,,Payment through Bank,,,2026-04-21,2026-04-21,,,2026-04-29,2026-08-25,2026-07-28,Md. Mumitur Rahman,pp0076,Member (Administration and Finance),1,eligibility_consultant,1,1833,10,(n),yes,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;personnel;subcontract;tax_deduction,no,,,,no
1288890,Tender Notice_PDFs/GDA_Tender_1288890.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Admin and Finance Section, Gazipur Development Authority",og0044,PE-GDA-007,Gazipur,Gazipur,Gazipur City,Gazipur City Corporation,Bangladesh,0222-4424048,Goods,NCT,TENDER,Tender - Single Lot,gda-rev-2025-2026-3-1,Being processed,Being processed,226423,Open Tendering Method (OTM),Revenue,Government,,Not applicable,Not applicable,pr0093,gda-rev-2025-2026-3,"Supply and installation of electrical equipment and fittings for the newly rented GDA office, including testing and commissioning to","Electrical machinery, apparatus, equipment and consumables; Electric motors, generators and transformers; Electricity distribution and control apparatus; Insulated wire and cable; Accumulators, primary cells and primary batteries; Lighting equipment and electric lamps; Electrical equipment and apparatus; Electronic, electromechanical and electrotechnical supplies;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Primary cells;Primary batteries;Electric accumulators;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",Lot wise,1000,1000,Payment through Bank,2026-06-08,2026-06-24,2026-06-08,2026-06-08,2026-06-24,2026-06-24,2026-06-24,2026-10-20,2026-09-22,MD. Mehedi Hassan,pp0079,Secretary,1,eligibility,1,1417,11,a),yes,yes,brand_model;cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_similar;financial_credit;financial_liquid;other,no,,,,no
1290616,Tender Notice_PDFs/GDA_Tender_1290616.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Admin and Finance Section, Gazipur Development Authority",og0044,PE-GDA-007,Gazipur,Gazipur,Gazipur City,Gazipur City Corporation,Bangladesh,0222-4424048,Goods,NCT,TENDER,Tender - Single Lot,gda-rev-2025-2026-4,,,226423,Open Tendering Method (OTM),Revenue,Government,,Not applicable,Not applicable,pr0093,gda-rev-2025-2026-4,"Supplying, fitting, fixing, and installing office furniture to fully equip and prepare the newly rented GDA building for incoming officers","Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Furniture; Jewellery and related articles; Musical instruments and parts; Sports goods and equipment; Games and toys; fairground amusements; Miscellaneous manufactured and other goods; Consumables and consumer goods; Handicraft and art supplies; Special-purpose product;Seats, chairs and associated parts;Non-domestic furniture;Domestic furniture;Miscellaneous furniture and equipment;School furniture;Coins and medals;Articles of jewellery;Musical instruments;Parts and accessories of musical instruments;Outdoor sports equipment;Gymnasium equipment;Dolls;Toys;Articles for funfair, table or parlour games;Laundry supplies;School slates or boards with writing or drawing surfaces;Artificial products;Apparatus and equipment designed for demonstrational purposes;Umbrellas and sunshades; walking sticks and seat sticks;Funeral supplies;Kitchen equipment, household items and catering supplies;Barracks supplies;Consumables;Tax-free goods;Disposable goods;Handicraft supplies;Art supplies;Police equipment;Recycled products;Security devices;Animal ear tags;Compost boxes;Tokens;Spray booths;Snow poles",Lot wise,1500,1500,Payment through Bank,2026-06-09,2026-06-25,2026-06-09,2026-06-09,2026-06-25,2026-06-25,2026-06-25,2026-10-21,2026-09-23,MD. Mehedi Hassan,pp0079,Secretary,0,eligibility,1,1718,7,n.,yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;manufacturer_auth;other,no,,,,no
1306351,Tender Notice_PDFs/GDA_Tender_1306351.pdf,2,Ministry of Housing and Public Works,og0001,Gazipur Development Authority,og0040,"Admin and Finance Section, Gazipur Development Authority",og0044,PE-GDA-007,Gazipur,Gazipur,Gazipur City,Gazipur City Corporation,Bangladesh,0222-4424048,Works,NCT,TENDER,Tender - Single Lot,gda-own-2025-2026-2,Live,Live,227176,Open Tendering Method (OTM),Own Fund,Own Fund,,Not applicable,Not applicable,pr0093,gda-own-2025-2026-2,"Interior work of the chairman's room, conference room and corridor on the fifth floor of the new building rented by the Gazipur Development Authority","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Lot wise,500,500,Payment through Bank,2026-07-08,2026-07-22,2026-07-08,2026-07-08,2026-07-22,2026-07-22,2026-07-22,2026-11-17,2026-10-20,MD. Mehedi Hassan,pp0079,Secretary,1,eligibility,1,1426,2,(a),yes,yes,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;subcontract,no,,,,no
