agency,agency_id,amended,amendment_changed_fields,amendment_no,amendment_no_printed,app_id,budget_type,category,city,closing_date,country,development_partner,district,district_original,document_price_original,document_price_taka,eligibility_amended,eligibility_categories,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_page,eligibility_published,eligibility_source_field,eligibility_substantive,evaluation_type,event_type,invitation_for,invitation_ref,inviting_officer,inviting_officer_designation,inviting_officer_id,last_selling_date,lots,method,ministry,ministry_id,notice_file,notice_pages,opening_date,package_description,package_no,payment_mode,phone,premeeting_end,premeeting_start,procurement_nature,procurement_type,procuring_entity,procuring_entity_code,procuring_entity_id,project,project_code,project_id,published_date,security_last_date,security_valid_until,source_of_funds,status,status_original,tender_id,tender_valid_until,thana,advertised_date,award_agency,award_agency_id,award_development_partner,award_district,award_file,award_for,award_invitation_ref,award_method,award_ministry,award_ministry_id,award_officer,award_officer_designation,award_officer_id,award_package_name,award_package_no,award_pages,award_procuring_entity,award_procuring_entity_code,award_procuring_entity_id,award_project,award_project_id,award_source_of_funds,award_template,beneficial_owners,bid_counts_printed,contract_description,contract_no,contract_signed_on_time,contract_value_original,contract_value_taka,noa_date,performance_security_on_time,signed_date,tenders_received,tenders_responsive,tenders_sold,winner,winner_id,winner_location,winner_page,winner_tenderer_id,work_completion_date,work_location,work_start_date,notice_document_found,award_document_found,outcome_source
Khulna Development Authority (KDA),og0016,no,,,,197063,Development,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Khulna,2024-01-31,Bangladesh,,Khulna,Khulna,4000,4000,no,cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_count;experience_similar;financial_credit;financial_liquid;financial_turnover;other;personnel,1627,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,KDA/3link/WD-4/2023-24,Mortoza Al Mamun,Project Director,pp0014,2024-01-30,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/KDA_Tender_932066.pdf,2,2024-01-31,"Construction of 2.70 km long (2 lane ) link road from Bastuhara Road to Old Satkhira Road (including Road works, Culvert, Retaining Wall, Protection works, Plantation etc)",KDA/3link/WD-4/2023-24,Payment through Bank,02477-725151,2024-01-03,2024-01-02,Works,NCT,Office of the Project Director (3Link Road),,og0075,Construction of 3 (Three) Link Roads Connecting Satkhira Road and City Bypass Road.,224280000,pr0064,2024-01-02,2024-01-31,2024-05-28,Government,Re-Tendered,Re-Tendered,932066,2024-04-30,Khulna City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Khulna Development Authority (KDA),og0016,yes,Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,1,1,197063,Development,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Khulna,2024-02-29,Bangladesh,,Khulna,Khulna,4000,4000,yes,cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_count;experience_similar;financial_credit;financial_liquid;financial_turnover;other;personnel,1665,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,KDA/3link/WD-1/2023-24,Mortoza Al Mamun,Project Director,pp0014,2024-02-28,0,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/KDA_Tender_941420.pdf,2,2024-02-29,"Construction of 2.50 km long (4 lane ) link road from Nirala to City Bypass Road (including Road works, Culvert, RCC Retaining Wall, RCC Drain, Divider, Electrification, Protection works, Plantation etc)",KDA/3link/WD-1/2023-24,Payment through Bank,02477-725151,2024-01-28,2024-01-25,Works,NCT,Office of the Project Director (3Link Road),,og0075,Construction of 3 (Three) Link Roads Connecting Satkhira Road and City Bypass Road.,224280000,pr0064,2024-01-25,2024-02-29,2024-06-26,Government,Contract Awarded,Contract Awarded,941420,2024-05-29,Khulna City Corporation,2024-01-25,Khulna Development Authority (KDA),og0016,NA,Khulna,Contract_Awards_PDFs/Tender_941420.pdf,Works,KDA/3link/WD-1/2023-24,OTM,Ministry of Housing and Public Works,og0001,Mortoza Al Mamun,Project Director,pp0014,"Construction of 2.50 km long (4 lane ) link road from Nirala to City Bypass Road (including Road works, Culvert, Retaining Wall, Divider, Electrification, Protection works, Plantation etc)",KDA/3link/WD-1/2023-24,1,Office of the Project Director (3Link Road),,og0075,Construction of 3 (Three) Link Roads Connecting Satkhira Road and City Bypass Road.,pr0064,Development Government,supplier,0,yes,"Construction of 2.50 km long (4 lane ) link road from Nirala to City Bypass Road (including Road works, Culvert, Retaining Wall, Divider, Electrification, Protection works, Plantation etc)",25.41.0000.021.0239.23,yes,806242304.971,806242304.971,2024-05-16,yes,2024-05-20,2,2,2,"DIENCO-MIR AKHTER JV ( JVCA Partners [Business Share]: DIENCO LIMITED [50.000%] , MIR AKHTER HOSSAIN LIMITED [50.000%] )",co0287,"Suite#4/A, Nakshi Homes, 6/1/A Topkhana Road, Segunbagicha,",1,,2025-12-01,"Nirala to City Bypass Road, Khulna",2024-05-30,yes,yes,award notice
Khulna Development Authority (KDA),og0016,no,,,,194831,Own Fund,"Machinery, equipment, appliances, apparatus and associated products; Motor vehicles, trailers and vehicle parts;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi- trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.;Motor vehicles;Passenger cars;Motor vehicles for the transport of 10 or more persons;Motor vehicles for the transport of goods;Heavy-duty motor vehicles;Vehicle bodies, trailers or semi-trailers;Vehicle bodies;Trailers, semi-trailers and mobile containers;Parts and accessories for vehicles and their engines;Engines and engine parts;Mechanical spare parts except engines and engine parts;Test benches;Vehicle conversion kits;Seat belts;Spare parts for goods vehicles;Spare parts for vans;Spare parts for cars;Tractor accessories;Motorcycles, bicycles and sidecars;Motorcycles;Motor scooters;Cycles with auxiliary motors;Bicycles",Khulna,2024-03-21,Bangladesh,,Khulna,Khulna,1000,1000,no,experience_general;financial_credit;financial_liquid;financial_turnover;other,676,4,(a),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,KDA/OTM/2023-2024/14,Montasir Mamun,Executive Engineer (M),pp0012,2024-03-20,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/KDA_Tender_953792.pdf,2,2024-03-21,Supplying of a brand new latest model sedan car maximum 1600cc at KDA.,KDA/OTM/2023-2024/14,Payment through Bank,041-725151,2024-02-25,2024-02-22,Goods,NCT,Office of Exen (Maintenance),,og0018,Not applicable,Not applicable,pr0093,2024-02-22,2024-03-21,2024-07-17,Own Fund,To be Re-Tendered,To be Re-Tendered,953792,2024-06-19,Khulna City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Khulna Development Authority (KDA),og0016,no,,,,194831,Own Fund,"Machinery, equipment, appliances, apparatus and associated products; Motor vehicles, trailers and vehicle parts;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi- trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.;Motor vehicles;Passenger cars;Motor vehicles for the transport of 10 or more persons;Motor vehicles for the transport of goods;Heavy-duty motor vehicles;Vehicle bodies, trailers or semi-trailers;Vehicle bodies;Trailers, semi-trailers and mobile containers;Parts and accessories for vehicles and their engines;Engines and engine parts;Mechanical spare parts except engines and engine parts;Test benches;Vehicle conversion kits;Seat belts;Spare parts for goods vehicles;Spare parts for vans;Spare parts for cars;Tractor accessories;Motorcycles, bicycles and sidecars;Motorcycles;Motor scooters;Cycles with auxiliary motors;Bicycles",Khulna,2024-03-21,Bangladesh,,Khulna,Khulna,1000,1000,no,experience_general;financial_credit;financial_liquid;financial_turnover;other,676,4,(a),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,KDA/OTM/2023-2024/15,Montasir Mamun,Executive Engineer (M),pp0012,2024-03-20,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/KDA_Tender_953793.pdf,2,2024-03-21,Supplying of a latest model brand new sedan car maximum 1600cc at KDA.,KDA/OTM/2023-2024/15,Payment through Bank,041-725151,2024-02-25,2024-02-22,Goods,NCT,Office of Exen (Maintenance),,og0018,Not applicable,Not applicable,pr0093,2024-02-22,2024-03-21,2024-07-17,Own Fund,To be Re-Tendered,To be Re-Tendered,953793,2024-06-19,Khulna City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Khulna Development Authority (KDA),og0016,no,,,,197063,Development,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Khulna,2024-05-27,Bangladesh,,Khulna,Khulna,4000,4000,no,cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_count;experience_similar;financial_credit;financial_liquid;financial_turnover;other;personnel,1574,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,KDA/3link/WD-3/2023-24.,Mortoza Al Mamun,Project Director,pp0014,2024-05-26,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/KDA_Tender_975516.pdf,2,2024-05-27,"Construction of 4.90 km long (2 lane ) link road from Khulna Satkhira Road (Khulna University Hall Road) to Rayermohol Road (including Road works, Culvert, Electrification, Protection works, Plantation etc).",KDA/3link/WD-3/2023-24.,Payment through Bank,02477-725151,2024-04-25,2024-04-24,Works,NCT,Office of the Project Director (3Link Road),,og0075,Construction of 3 (Three) Link Roads Connecting Satkhira Road and City Bypass Road.,224280000,pr0064,2024-04-24,2024-05-27,2024-09-22,Government,Contract Awarded,Contract Awarded,975516,2024-08-25,Khulna City Corporation,2024-04-24,Khulna Development Authority (KDA),og0016,NA,Khulna,Contract_Awards_PDFs/Tender_975516.pdf,Works,KDA/3link/WD-3/2023-24.,OTM,Ministry of Housing and Public Works,og0001,Mortoza Al Mamun,Project Director,pp0014,"Construction of 4.90 km long (2 lane ) link road from Khulna Satkhira Road (Khulna University Hall Road) to Rayermohol Road (including Road works, Culvert, Retaining Wall, Electrification, Protection works, Plantation etc).",KDA/3link/WD-3/2023-24.,1,Office of the Project Director (3Link Road),,og0075,Construction of 3 (Three) Link Roads Connecting Satkhira Road and City Bypass Road.,pr0064,Development Government,supplier,0,yes,"Construction of 4.90 km long (2 lane ) link road from Khulna Satkhira Road (Khulna University Hall Road) to Rayermohol Road (including Road works, Culvert, Retaining Wall, Electrification, Protection works, Plantation etc).",25.41.0000.021.0240.23,yes,623250056.000,623250056,2024-10-06,yes,2024-10-16,3,3,8,"IH-RSE-SHJ (JV) ( JVCA Partners [Business Share]: M/S Saiful Hasan Joarder [25.000%] , M/S R. S. Enterprise [35.000%] , M/S ISMAIL HOSSAIN [40.000%] )",co0306,"House No. 8/19, Flat No. 6/B, Block-A Sir Syed Road, Mohammadpur, Dhaka-1207",1,,2025-12-15,Khulna,2024-07-30,yes,yes,award notice
Khulna Development Authority (KDA),og0016,no,,,,197063,Development,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Khulna,2024-06-24,Bangladesh,,Khulna,Khulna,4000,4000,no,cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_count;experience_similar;financial_credit;financial_liquid;financial_turnover;other;personnel,1556,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,KDA/3link/WD-4/2023-24,Mortoza Al Mamun,Project Director,pp0014,2024-06-23,0,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/KDA_Tender_991635.pdf,2,2024-06-24,"Construction of 2.70 km long (2 lane ) link road from Bastuhara Road to Old Satkhira Road (including Road works, Culvert, Retaining Wall, Protection works, Plantation etc)",KDA/3link/WD-4/2023-24,Payment through Bank,02477-725151,2024-05-27,2024-05-26,Works,NCT,Office of the Project Director (3Link Road),,og0075,Construction of 3 (Three) Link Roads Connecting Satkhira Road and City Bypass Road.,224280000,pr0064,2024-05-26,2024-06-24,2024-10-20,Government,Contract Awarded,Contract Awarded,991635,2024-09-22,Khulna City Corporation,2024-05-26,Khulna Development Authority (KDA),og0016,NA,Khulna,Contract_Awards_PDFs/Tender_991635.pdf,Works,KDA/3link/WD-4/2023-24,OTM,Ministry of Housing and Public Works,og0001,Mortoza Al Mamun,Project Director,pp0014,"Construction of 2.70 km long (2 lane ) link road from Bastuhara Road to Old Satkhira Road (including Road works, Culvert, Retaining Wall, Protection works, Plantation etc)",KDA/3link/WD-4/2023-24,1,Office of the Project Director (3Link Road),,og0075,Construction of 3 (Three) Link Roads Connecting Satkhira Road and City Bypass Road.,pr0064,Development Government,supplier,0,yes,"Construction of 2.70 km long (2 lane ) link road from Bastuhara Road to Old Satkhira Road (including Road works, Culvert, Retaining Wall, Protection works, Plantation etc)",25.41.0000.021.0241.23,yes,442452500.000,442452500,2024-10-06,yes,2024-10-16,3,3,4,"IH-RSE (JV) ( JVCA Partners [Business Share]: M/S R. S. Enterprise [60.000%] , M/S ISMAIL HOSSAIN [40.000%] )",co0309,"House No. 8/19, Flat No. 6/B, Block-A Sir Syed Road, Mohammadpur, Dhaka-1207",1,,2025-12-30,"Bastuhara Road to Old Satkhira Road, Khulna",2024-09-15,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,181410,Own Fund,"Repair, maintenance and associated services related to roads and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;",Dhaka,2024-07-25,Bangladesh,,Dhaka,Dhaka,4000,4000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/SECC-3/20,Saber Ahmed,Superintending Engineer,pp0001,2024-07-24,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_1000267.pdf,2,2024-07-25,Repair and maintenance work of Madani Avenue (100ft) Road Due to excavation for inatallation Transmission and Distribution pipe line for Dhaka WASA DESWSP Project (Package-P2).,RAJUK/SECC-3/18,Payment through Bank,02-9552748,2024-07-04,2024-06-26,Works,NCT,Superintending Engineer (Civil Circle-3),,og0003,Building Repair and Maintenance maintenance,Xen/South Dhaka/Repair and,pr0097,2024-06-25,2024-07-25,2024-12-20,Own fund,Contract Awarded,Contract Awarded,1000267,2024-11-22,Dhaka South City Corporation,2024-06-25,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_1000267.pdf,Works,RAJUK/SECC-3/20,OTM,Ministry of Housing and Public Works,og0001,Saber Ahmed,Superintending Engineer,pp0001,Repair and maintenance work of Madani Avenue (100ft) Road Due to excavation for inatallation Transmission and Distribution pipe line for Dhaka WASA DESWSP Project (Package-P2).,RAJUK/SECC-3/18,1,Superintending Engineer (Civil Circle-3),,og0003,Building Repair and Maintenance,pr0001,Own Fund Own fund,supplier,0,yes,Repair and maintenance work of Madani Avenue (100ft) Road Due to excavation for inatallation Transmission and Distribution pipe line for Dhaka WASA DESWSP Project (Package-P2).,RAJUK/SECC-3/20,yes,104498747.100,104498747.1,2024-09-10,yes,2024-10-08,5,5,8,M/S. Niaz Traders,co0001,"154, Motijheel C/A. Masjid Market (2nd Floor), Room No.301-303, Dhaka-1000.",1,,2025-02-10,Madani Avenue Road,2024-08-14,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,yes,Eligibility of Consultant,1,1,195732,Own Fund,"Site preparation work; Construction work; Building demolition and wrecking work and earthmoving work; Test drilling and boring work; Engineering works and construction works; Architectural and related services; Architectural, engineering, construction and related technical consultancy services; Engineering services; Integrated engineering services; Architectural, engineering, construction and related technical consultancy services;",Dhaka,2024-07-24,Bangladesh,,Dhaka,Dhaka,4000,4000,yes,deferred,19,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/UAP/PD/IFT/SP-10,Mohammad Muzaffar Uddin,PD (Uttara Appartment),pp0004,2024-07-23,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_1000530.pdf,2,2024-07-24,"Construction of Swimming pool complex/Health Club including internal sanitary, water supply, internal electrification and other ancillary works at Uttara Apartment Project.","UAP/CW/WD-10 Construction of Swimming pool complex/Health Club including internal sanitary, water supply, internal electrification and other ancillary works at Uttara Apartment Project of Block-A, Sector-18, Uttara, Dhaka.",Payment through Bank,02-9572010,2024-07-03,2024-06-26,Works,NCT,Uttara Apartment Project,,og0012,Not applicable,Not applicable,pr0093,2024-06-25,2024-07-24,2024-12-19,Own Fund,Re-Tendered,Re-Tendered,1000530,2024-11-21,Dhaka South City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,yes,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,1,1,195388,Own Fund,Building construction work; Works for complete or part construction and civil engineering work; Engineering works and construction works;,Dhaka,2024-08-12,Bangladesh,,Dhaka,Dhaka,4000,4000,no,deferred,11,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/PD_9apt/Building_03,Rahat Muslemin,PD (9apt),pp0003,2024-08-11,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_1000945.pdf,2,2024-08-12,"Construction of 06 (six) storied Apartment Building (Civil, Sanitary & Internal Electrification works) at Plot No. 8/15, Sir Syed Road, Block-A, Mohammadpur, Dhaka",RAJUK/PD-9apt/Bldg-03,Payment through Bank,02-9559386,2024-07-08,2024-07-01,Works,NCT,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,Not applicable,Not applicable,pr0093,2024-06-30,2024-08-12,2025-01-07,Own Fund,Contract Awarded,Contract Awarded,1000945,2024-12-10,Dhaka South City Corporation,2024-06-30,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_1000945.pdf,Works,RAJUK/PD_9apt/Building_03,OTM,Ministry of Housing and Public Works,og0001,Rahat Muslemin,PD (9apt),pp0003,"Construction of 06 (six) storied Apartment Building (Civil, Sanitary & Internal Electrification works) at Plot No. 8/15, Sir Syed Road, Block-A, Mohammadpur, Dhaka (Building-03).",RAJUK/PD-9apt/Bldg-03,1,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka.",,og0006,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Construction of 06 (six) storied Apartment Building (Civil, Sanitary & Internal Electrification works) at Plot No. 8/15, Sir Syed Road, Block-A, Mohammadpur, Dhaka (Building-03).",RAJUK/PD_9apt/Building_03,yes,91452674.190,91452674.19,2024-08-27,yes,2024-09-09,3,1,4,Momotaj Engineers Ltd.,co0003,"Kha-202/c, Progatisharani, Middle Badda, Dhaka-1212.",1,,2026-03-25,"Sir Syed Road, Block-A, Mohammadpur, Dhaka",2024-10-08,yes,yes,award notice
Rajdhani Unnayan Kartripakkha (RAJUK),og0002,no,,,,196083,Own Fund,"Cleaning and sanitation services in urban or rural areas, and related services; Sewage- and refuse-disposal services, sanitation and environmental services;Street-cleaning services;Gully-cleaning services;Asbestos removal services;Deleading services;Disinfecting and exterminating services in urban or rural areas;Beach cleaning services",Dhaka,2024-08-01,Bangladesh,,Dhaka,Dhaka,2000,2000,no,deferred,18,1,unnumbered,1,no,eligibility,no,Lot wise,TENDER,Tender - Single Lot,RAJUK/SE/CC-1/EE/HQ/Hatirjheel/W,Mohammad Muzaffar Uddin,Superintending Engineer,pp0004,2024-07-31,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/RAJUK_Tender_1001120.pdf,2,2024-08-01,"Cleaning, Sweeping &Gardening of the Expressway, Service Road, Footpath, and Walkway from FDC to Merul Badda in the Hatirjheel Area.",SE/CC-1/EE/HQ/Hatirjheel/W-13/P-1,Payment through Bank,02-9568383,2024-07-18,2024-07-04,Works,NCT,Superintending Engineer (Civil Circle-1),,og0007,Not applicable,Not applicable,pr0093,2024-07-03,2024-08-01,2024-12-27,Own Fund,Contract Awarded,Contract Awarded 13/P-1,1001120,2024-11-29,Dhaka South City Corporation,2024-07-03,Rajdhani Unnayan Kartripakkha (RAJUK),og0002,NA,Dhaka,Contract_Awards_PDFs/Tender_1001120.pdf,Works,RAJUK/SE/CC-1/EE/HQ/Hatirjheel/W-13/P-1,OTM,Ministry of Housing and Public Works,og0001,Mohammad Muzaffar Uddin,Superintending Engineer,pp0004,"Cleaning, Sweeping &Gardening of the Expressway, Service Road, Footpath, and Walkway from FDC to Merul Badda in the Hatirjheel Area.",SE/CC-1/EE/HQ/Hatirjheel/W-13/P-1,1,Superintending Engineer (Civil Circle-1),,og0007,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Cleaning, Sweeping &Gardening of the Expressway, Service Road, Footpath, and Walkway from FDC to Merul Badda in the Hatirjheel Area.",RAJUK/SE/CC-1/EE/HQ/Hatirjheel/W-13/P-1,yes,10599930.000,10599930,2024-10-22,yes,2024-11-19,8,2,9,M/S. Alam & Co.,co0004,"61, Satish Sarker Road, Gandaria, Dhaka Bangladesh",1,,2026-11-01,Hatirjheel Area,2024-11-01,yes,yes,award notice
